x,y,minion
05/01/11,582.25,984.31
12/01/11,591.6,993.94
19/01/11,578.24,985.28
26/01/11,578.24,989.12
02/02/11,557.77,973.73
09/02/11,583.58,935.24
16/02/11,574.68,908.3
23/02/11,540.41,907.82
02/03/11,531.5,897.24
09/03/11,551.53,770.23
16/03/11,505.68,780.45
23/03/11,535.06,831.05
30/03/11,552.42,835.43
06/04/11,558.66,821.8
13/04/11,555.54,843.7
20/04/11,572.75,844.19
27/04/11,578.63,833
04/05/11,566.88,811.1
11/05/11,582.7,851.49
18/05/11,575.01,846.62
25/05/11,565.07,836.4
01/06/11,567.33,829.59
08/06/11,549.25,868.03
15/06/11,548.34,858.78
22/06/11,543.82,875.33
29/06/11,573.66,880.68
06/07/11,589.48,909.39
13/07/11,588.58,913.77
20/07/11,586.31,924.47
27/07/11,579.99,949.77
03/08/11,565.07,957.56
10/08/11,504.04,954.64
17/08/11,551.51,924.47
24/08/11,544.27,918.63
31/08/11,578.63,959.99
07/09/11,578.18,1019.84
14/09/11,552.41,1015.99
21/09/11,565.07,1009.08
28/09/11,552.86,991.33
05/10/11,537.95,990.34
12/10/11,565.97,1004.15
19/10/11,641.47,973.57
26/10/11,646.73,970.62
02/11/11,643.53,906.01
09/11/11,650.38,895.65
16/11/11,661.33,877.89
23/11/11,599.72,748.18
30/11/11,665.44,770.23
07/12/11,654.94,780.45
14/12/11,647.18,831.05
21/12/11,645.81,835.43
28/12/11,666.81,821.8
04/01/12,684.61,843.7
11/01/12,698.3,844.19
18/01/12,684.15,833
25/01/12,674.57,811.1
01/02/12,703.32,851.49
08/02/12,716.56,846.62
15/02/12,719.29,836.4
22/02/12,731.62,829.59
29/02/12,743.03,868.03
07/03/12,742.12,858.78
14/03/12,763.11,875.33
21/03/12,751.7,880.68
28/03/12,752.16,909.39
04/04/12,740.29,913.77
11/04/12,733.44,924.47
18/04/12,742.12,949.77
25/04/12,760.62,957.56
02/05/12,778.2,954.64
09/05/12,781.43,924.47
16/05/12,768.48,918.63
23/05/12,739.82,959.99
30/05/12,762.47,1019.84
06/06/12,747.21,1015.99
13/06/12,768.95,1009.08
20/06/12,792.07,991.33
27/06/12,783.28,990.34
04/07/12,815.19,897.24
11/07/12,802.24,770.23
18/07/12,795.77,780.45
25/07/12,767.1,831.05
01/08/12,799,835.43
08/08/12,787.9,821.8
15/08/12,795.77,843.7
22/08/12,776.35,844.19
29/08/12,761.55,833
05/09/12,765.71,811.1
12/09/12,766.17,851.49
19/09/12,793.92,846.62
26/09/12,775.42,836.4
03/10/12,803.16,829.59
10/10/12,805.48,868.03
17/10/12,809.64,858.78
24/10/12,798.71,875.33
31/10/12,797.31,880.68
07/11/12,805.71,909.39
14/11/12,812.71,913.77
21/11/12,811.78,924.47
28/11/12,819.24,949.77
05/12/12,852.36,957.56
12/12/12,816.91,954.64
19/12/12,824.37,924.47
26/12/12,825.77,918.63
02/01/13,849.56,959.99
09/01/13,836.03,1019.84
16/01/13,850.96,1015.99
23/01/13,863.56,1009.08
30/01/13,879.42,991.33
06/02/13,911.61,990.34
13/02/13,918.61,1004.15
20/02/13,990.93,973.57
27/02/13,951.74,970.62
06/03/13,973.2,906.01
13/03/13,991.86,895.65
20/03/13,1055.31,877.89
27/03/13,1034.78,748.18
03/04/13,1047.84,770.23
10/04/13,1026.38,780.45
17/04/13,1049.71,831.05
24/04/13,1066.34,835.43
01/05/13,1068.23,821.8
08/05/13,1095.57,843.7
15/05/13,1154.97,844.19
22/05/13,1152.14,833
29/05/13,1122.91,811.1
05/06/13,1121.97,851.49
12/06/13,1121.97,846.62
19/06/13,1123.85,836.4
26/06/13,1068.23,829.59
03/07/13,1072.94,780.45
10/07/13,1127.63,831.05
17/07/13,1114.43,835.43
24/07/13,1112.54,821.8
31/07/13,1107.83,843.7
07/08/13,1125.74,844.19
14/08/13,1081.43,833
21/08/13,1059.74,811.1
28/08/13,1029.57,851.49
04/09/13,1055.03,846.62
11/09/13,1060.68,836.4
18/09/13,1033.34,829.59
25/09/13,1057.86,868.03
02/10/13,1055.97,858.78
09/10/13,1020.14,875.33
16/10/13,1039,880.68
23/10/13,1086.82,909.39
30/10/13,1093.47,913.77
06/11/13,1092.52,924.47
13/11/13,1149.52,949.77
20/11/13,1177.07,957.56
27/11/13,1184.67,954.64
04/12/13,1138.12,924.47
11/12/13,1143.82,918.63
18/12/13,1165.67,959.99
25/12/13,1192.27,1019.84
01/01/14,1211.27,1015.99
08/01/14,1221.72,1009.08
15/01/14,1183.72,991.33
22/01/14,1172.32,990.34
29/01/14,1133.37,1004.15
05/02/14,1106.77,973.57
12/02/14,1149.52,970.62
19/02/14,950.02,906.01
26/02/14,913.44,895.65
05/03/14,973.77,877.89
12/03/14,982.32,748.18
19/03/14,1019.37,770.23
26/03/14,1023.17,780.45
02/04/14,1038.37,831.05
09/04/14,1015.57,835.43
16/04/14,970.92,821.8
23/04/14,991.05,843.7
30/04/14,1010.29,844.19
07/05/14,969.88,833
14/05/14,991.05,817.3822844
21/05/14,963.15,741.2389277
28/05/14,977.58,641.47
04/06/14,1021.84,646.73
11/06/14,978.54,643.53
18/06/14,971.81,650.38
25/06/14,1005.48,661.33
02/07/14,1008.37,599.72
09/07/14,1006.44,665.44
16/07/14,1020.88,654.94
23/07/14,1003.56,647.18
30/07/14,1015.1,645.81
06/08/14,1000.67,666.81
13/08/14,999.71,684.61
20/08/14,984.31,698.3
27/08/14,993.94,684.15
03/09/14,985.28,674.57
10/09/14,989.12,703.32
17/09/14,973.73,716.56
24/09/14,935.24,719.29
01/10/14,908.3,731.62
08/10/14,907.82,743.03
15/10/14,897.24,742.12
22/10/14,770.23,763.11
29/10/14,780.45,751.7
05/11/14,831.05,752.16
12/11/14,835.43,740.29
19/11/14,821.8,733.44
26/11/14,843.7,742.12
03/12/14,844.19,760.62
10/12/14,833,778.2
17/12/14,811.1,781.43
24/12/14,851.49,768.48
31/12/14,846.62,739.82
07/01/15,836.4,762.47
14/01/15,829.59,747.21
21/01/15,868.03,768.95
28/01/15,858.78,792.07
04/02/15,875.33,783.28
11/02/15,880.68,815.19
18/02/15,909.39,802.24
25/02/15,913.77,795.77
04/03/15,924.47,767.1
11/03/15,949.77,799
18/03/15,957.56,787.9
25/03/15,954.64,795.77
01/04/15,924.47,776.35
08/04/15,918.63,761.55
15/04/15,959.99,765.71
22/04/15,1019.84,766.17
29/04/15,1015.99,793.92
06/05/15,1009.08,775.42
13/05/15,991.33,803.16
20/05/15,990.34,805.48
27/05/15,1004.15,809.64
03/06/15,973.57,798.71
10/06/15,970.62,797.31
17/06/15,906.01,805.71
24/06/15,895.65,812.71
01/07/15,877.89,811.78
08/07/15,748.18,819.24
15/07/15,770.87,852.36
22/07/15,750.16,816.91
29/07/15,720.56,824.37
05/08/15,806.38,825.77
12/08/15,789.12,849.56
19/08/15,751.64,836.03
26/08/15,704.78,850.96
02/09/15,722.04,863.56
09/09/15,721.06,879.42
16/09/15,710.21,911.61
23/09/15,670.26,918.61
30/09/15,667.79,990.93
07/10/15,724.02,951.74
14/10/15,689,973.2
21/10/15,672.23,991.86
28/10/15,673.5,1055.31
04/11/15,709.5,1034.78
11/11/15,516,1047.84
